Establishment.ID,Name,Address.1,Address.2,City,Zip,Inspection.Date,Inspection.Results,Food.from.Approved.Source..C.,Food.Protected.from.Contamination..C.,Ill.Workers.Restricted..C.,Proper.Hand.Washing..C.,Cooling.Time.and.Temperature..C.,Cold.Holding.Temperature..C.,Hot.Holding.Temperature..C.,Cooking.Time.and.Temperature..C.,Reheating.Time.and.Temperature..C.,Hot.and.Cold.Running.Water.Provided..C.,Proper.Sewage.Disposal..C.,Toxic.Substances...Pesticides,Rodent.and.Insects,Nutritional.Labeling,Trans.Fat.Ban,No.Smoking.Sign.Posted,Inspection.Type,Owner,Category,Type,Latitude,Longitude,Location
51442,RICO'S ICE CREAM,11160 VEIRS MILL RD,,Silver Spring,20902,2024-02-23,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,RICOS ICE CREAM LLC,Restaurant,Food,39.037,-77.0539,POINT (-77.0539 39.037)
30188,7-ELEVEN #39789A,12301 MIDDLEBROOK RD,,Germantown,20874,2024-02-15,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,E&C ENTERPRISES INC,Market,Food,39.1758,-77.2545,POINT (-77.2545 39.1758)
54004,ICE CREAM CITY AND MORE,8478 PINEY BRANCH RD,,Silver Spring,20901,2024-02-14,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Other,ICE CEAM CITY AND MOE LLC,Market,Food,38.9987,-77.0044,POINT (-77.0044 38.9987)
36818,PARTY CITY #1093,1500 ROCKVILLE PK.,,Rockville,20852,2024-02-08,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Environmental,PARTY CITY CORPERATION,Restaurant,Food,39.0654,-77.1261,POINT (-77.1261 39.0654)
51548,SOLE D'ITALIA RESTAURANT,14324 LAYHILL RD.,,Silver Spring,20906,2024-02-02,Facility Closed,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring w/Complaint Investigation,J&D FUEL SERVICES,Restaurant,Food,39.0914,-77.0458,POINT (-77.0458 39.0914)
43357,HUG LOUNGE,"949 BONIFANT ST., SUITE C",,Silver Spring,20910,2024-02-01,Facility Closed,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Not applicable,In Compliance,In Compliance,Monitoring,KALEB  HUG LOUNGE LLC,Restaurant,Food,38.9939,-77.0257,POINT (-77.0257 38.9939)
2487,TEMARI CAFE,1043 ROCKVILLE PK.,,Rockville,20852,2024-01-11,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,EIICHI NAKATSUKA,Restaurant,Food,39.0714,-77.1334,POINT (-77.1334 39.0714)
30114,GRILL KABOB,11160 VEIRS MILL RD,,Silver Spring,20902,2024-01-09,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Monitoring,GRILL KABOB OF WHEATON INC,Restaurant,Food,39.037,-77.0539,POINT (-77.0539 39.037)
17112,BUCA DI BEPPO,122 KENTLANDS BLVD.,,Gaithersburg,20878,2024-01-04,Facility Closed,In Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Out of Compliance,Not applicable,In Compliance,In Compliance,Comprehensive,"BUCA RESTAURANTS, INC.",Restaurant,Food,39.1226,-77.2326,POINT (-77.2326 39.1226)
34509,TASTY NOOK CAFE,1405 RESEARCH BLVD,,Rockville,20850,2023-12-28,Facility Closed,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,In Compliance,In Compliance,Out of Compliance,In Compliance,In Compliance,Not applicable,In Compliance,Out of Compliance,Comprehensive,MEJIA ENTERPRISES LLC,Restaurant,Food,39.0911,-77.1775,POINT (-77.1775 39.0911)
